source_name,canonical_group,verified_name_zh,verified_name_en,verified_city,verified_country,country_code,city_country,verified_entity_type,verification_status,confidence,uncertainty_flag,operational_status,verification_note,source_urls,verified_at,original_candidate_zh,original_candidate_en,original_suggested_country,raw_country_values,drink_count,public_visible_count,sample_drink_names,original_review_note
天使之翼,天使之翼,天使之翼,Wax Wings Brewing Co.,"Kalamazoo, Michigan",美国,US,"Kalamazoo, Michigan（美国）",brewery_brand,corrected,high,,,Double Nazareth 等样例与 Wax Wings 对应。,https://waxwingsbrewingco.square.site/ | https://www.beermenus.com/breweries/26904-wax-wings-brewing-company,2026-07-01,天使之翼,,United States,美国:2,2,2,双倍拿撒勒|摩卡,English name not found safely; fill from checked mapping or official source
犀首田园,犀首田园,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,犀首田园,,,,2,1,送你一朵小红花|云边有座小卖部,English name not found safely; fill from checked mapping or official source
香港啤酒公司,香港啤酒公司,香港啤酒公司,Hong Kong Beer Co.,Hong Kong,中国香港,HK,Hong Kong（中国香港）,brewery_brand,verified,high,,,,https://hkbeerco.com/,2026-07-01,香港啤酒公司,Hong Kong Beer Co.,Hong Kong,香港:1|中国香港:1,2,2,大浪湾|冷萃马赛克,
想象中的雨,FEVER,,Fever Ales,西安,中国,CN,西安（中国）,brewery_brand,corrected,high,,,“想象中的雨”是其酒款，不是酒厂名。,https://untappd.com/FeverAles | https://www.tengnian.com/brewery/50,2026-07-01,想象中的雨,,,,2,1,Fever,English name not found safely; fill from checked mapping or official source
修订,修订,修订,Revision Brewing Company,"Sparks, Nevada",美国,US,"Sparks, Nevada（美国）",brewery_brand,verified,high,,,,https://revisionbrewing.com/locations/,2026-07-01,修订,,,,2,0,三重未知|翡翠湾,English name not found safely; fill from checked mapping or official source
远山啤酒,远山啤酒,远山啤酒,Far Mont Beer,,中国,CN,（中国）,brewery_brand,partially_verified,medium,partially_verified | city_unverified,,中文、英文及国家可确认；城市没有可靠公开来源，留空。,https://untappd.com/w/far-mont-beer-e-a-a-e/599657,2026-07-01,远山啤酒,,,,2,1,云雾之峰|莱茵淡影,English name not found safely; fill from checked mapping or official source
纸飞机,纸飞机,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,纸飞机,,,,2,1,洋流上下 TDH帝国浑浊IPA|临界,English name not found safely; fill from checked mapping or official source
左手巨人,左手巨人,左手巨人,Left Handed Giant,Bristol,英国,GB,Bristol（英国）,brewery_brand,verified,high,,,不得与美国 Left Hand Brewing 混为一体。,https://lefthandedgiant.com/,2026-07-01,左手巨人,,United Kingdom,英国:2,2,2,双城记|自在跑,English name not found safely; fill from checked mapping or official source
Guinness,健力士,健力士,Guinness,Dublin,爱尔兰,IE,Dublin（爱尔兰）,brewery_brand,verified,high,,,,https://www.guinness.com/en | https://www.guinness-storehouse.com/en,2026-07-01,,Guinness,,,2,2,世涛|健力士 Guinness,
HESPER,HESPER,HESPER,HESPER,,中国,,东莞（中国）,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,,HESPER,China,东莞:1,2,1,夏沁,
SMOOJ,斯莫吉 / Smooj,斯莫吉,Smooj,"Ann Arbor, Michigan",美国,US,"Ann Arbor, Michigan（美国）",brewery_brand,verified,medium,,,“斯莫及/斯莫吉”均为音译；英文 Smooj 最可靠。,https://www.drinksmooj.com/ | https://untappd.com/troobado/beer,2026-07-01,,SMOOJ,,,2,1,粉红色的夏天|椰林飘香,
艾根伯格,艾根伯格,艾根伯格,Brauerei Schloss Eggenberg,Vorchdorf,奥地利,AT,Vorchdorf（奥地利）,brewery_brand,verified,high,,,,https://www.schloss-eggenberg.at/en/,2026-07-01,艾根伯格,,,奥地利:1,1,1,窑藏博克,English name not found safely; fill from checked mapping or official source
艾英格,艾英格,艾英格,Ayinger Privatbrauerei,Aying,德国,DE,Aying（德国）,brewery_brand,verified,high,,,,https://www.ayinger.de/index-en.html,2026-07-01,艾英格,,Germany,德国:1,1,1,春季博克,English name not found safely; fill from checked mapping or official source
巴伐利亚武僧,巴伐利亚武僧,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,巴伐利亚武僧,,,,1,1,双料小麦博克,English name not found safely; fill from checked mapping or official source
半吨,半吨,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,半吨,,,,1,1,潮汕黄金,English name not found safely; fill from checked mapping or official source
碧特博格,碧特博格,碧特博格,Bitburger Brewery,Bitburg,德国,DE,Bitburg（德国）,brewery_brand,verified,high,,,,https://www.bitburger-international.com/en/our-brands/bitburger/bitburger-brewery,2026-07-01,碧特博格,,,,1,0,碧堡,English name not found safely; fill from checked mapping or official source
布鲁瑞,布鲁瑞 / The Bruery,布鲁瑞,The Bruery,"Placentia, California",美国,US,"Placentia, California（美国）",brewery_brand,verified,high,,,,https://www.thebruery.com/pages/location-placentia,2026-07-01,布鲁瑞,,United States,美国:1,1,1,安布拉纳闪耀,English name not found safely; fill from checked mapping or official source
打嗝海狸,打嗝海狸,打嗝海狸,Belching Beaver Brewery,"Oceanside, California",美国,US,"Oceanside, California（美国）",brewery_brand,verified,high,,,,https://belchingbeaver.com/,2026-07-01,打嗝海狸,,United States,美国:1,1,1,海狸万岁,English name not found safely; fill from checked mapping or official source
分野,分野酿造 / Quadrant Brewing,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,分野,,,,1,0,柚子大米拉格,English name not found safely; fill from checked mapping or official source
黑森林,黑森林 / Waldhaus,黑森林,Privatbrauerei Waldhaus,"Weilheim, Baden-Württemberg",德国,DE,"Weilheim, Baden-Württemberg（德国）",brewery_brand,verified,high,,,Waldhaus 为正式品牌；“黑森林”为中文市场称呼。,https://www.waldhaus-bier.de/en/private-brewery/,2026-07-01,黑森林,,Germany,德国:1,1,1,古法窖藏,English name not found safely; fill from checked mapping or official source
黑烟囱,黑烟囱,黑烟囱,BlackStack Brewing,"Saint Paul, Minnesota",美国,US,"Saint Paul, Minnesota（美国）",brewery_brand,corrected,high,,,样例 ART HISTORY 与 BlackStack 官方/平台记录一致。,https://www.blackstackbrewing.com/ | https://untappd.com/b/blackstack-brewing-art-history/6614897,2026-07-01,黑烟囱,,United States,美国:1,1,1,文艺历史,English name not found safely; fill from checked mapping or official source
蝴蝶结,蝴蝶结,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,蝴蝶结,,,,1,0,米芯,English name not found safely; fill from checked mapping or official source
花雅酿造,花雅酿造,花雅酿造,HARMO BREW,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,花雅酿造,,,,1,0,志气,English name not found safely; fill from checked mapping or official source
坏骨头,坏骨头,坏骨头,Bad Bones Beer,"Dunham, Quebec",加拿大,CA,"Dunham, Quebec（加拿大）",brewery_brand,verified,high,,,样例 Accident Report 与 Bad Bones 对应。,https://www.badbonesbeer.com/home-en | https://brewver.com/beers/1151069/Accident-Report,2026-07-01,坏骨头,,Canada,加拿大:1,1,1,事故报告,English name not found safely; fill from checked mapping or official source
健力士,健力士 / Guinness,健力士,Guinness,Dublin,爱尔兰,IE,Dublin（爱尔兰）,brewery_brand,verified,high,,,,https://www.guinness.com/en | https://www.guinness-storehouse.com/en,2026-07-01,健力士,,,爱尔兰:1,1,1,氮气世涛,English name not found safely; fill from checked mapping or official source
酒花民族,酒花民族,酒花民族,Hop Nation Brewing Co.,"Footscray, Melbourne",澳大利亚,AU,"Footscray, Melbourne（澳大利亚）",brewery_brand,verified,medium,,,中文市场名由同款酒对应关系确认；“酒花名族”为错别字。,https://untappd.com/b/hop-nation-brewing-co-2026-fresh-hop-chop-ipa/6640918 | https://hopnation.com.au/,2026-07-01,酒花名族,,Australia,澳大利亚:1,1,1,Fresh Hop,English name not found safely; fill from checked mapping or official source
牛皮堂,牛啤堂 / NBeer Craft Brewing,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,牛皮堂,,China,北京:1,1,1,菠萝包,English name not found safely; fill from checked mapping or official source
倾斜谷仓,倾斜谷仓,倾斜谷仓,Tilted Barn Brewery,"Exeter, Rhode Island",美国,US,"Exeter, Rhode Island（美国）",brewery_brand,verified,high,,,,https://www.tiltedbarnbrewery.com/,2026-07-01,倾斜谷仓,,,,1,0,天选之子,English name not found safely; fill from checked mapping or official source
撒切尔,撒切尔,撒切尔,Thatchers Cider,"Sandford, Somerset",英国,GB,"Sandford, Somerset（英国）",cider_producer,verified,high,,,属于苹果酒生产商，而非啤酒厂。,https://www.thatcherscider.co.uk/,2026-07-01,撒切尔,,United Kingdom,英国:1,1,1,金苹果,English name not found safely; fill from checked mapping or official source
塞拉多艾尔,塞拉多艾尔,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,塞拉多艾尔,,,,1,0,豪华赛松,English name not found safely; fill from checked mapping or official source
三宝乐,三宝乐 / Sapporo,三宝乐,Sapporo Breweries,札幌,日本,JP,札幌（日本）,brewery_brand,verified,medium,,,城市按品牌起源地填写；公司总部位于东京。,https://www.sapporobeer.jp/,2026-07-01,三宝乐,,,,1,0,惠比寿全麦,English name not found safely; fill from checked mapping or official source
三得利,三得利 / Suntory,三得利,Suntory,东京,日本,JP,东京（日本）,brewery_brand,verified,high,,,城市按公司总部填写。,https://www.suntory.com/,2026-07-01,三得利,,,,1,0,万志,English name not found safely; fill from checked mapping or official source
三子酿造,三子酿造,三子酿造,3 Sons Brewing Co.,"Dania Beach, Florida",美国,US,"Dania Beach, Florida（美国）",brewery_brand,verified,high,,,,https://www.3sonsbrewingco.com/,2026-07-01,三子酿造,,United States,美国:1,1,1,维京征服,English name not found safely; fill from checked mapping or official source
山乘酿造,山乘酿造 / Sheng Craft Beer,山乘酿造,Sheng Craft Beer,嵊州，绍兴,中国,CN,嵊州，绍兴（中国）,brewery_brand,verified,medium,,,公开资料确认创立并设厂于浙江绍兴嵊州；城市以县级市及地级市并列记录。,https://www.beertasting.com/en/brewery/sheng-craft-beer | https://www.instagram.com/p/CYQwj4PlvwN/,2026-07-01,山乘酿造,,,,1,0,辅助奶两口,English name not found safely; fill from checked mapping or official source
双尾酿造 / Twin Tails,双尾酿造,双尾酿造,Twin Tails Brewing,苏州,中国,CN,苏州（中国）,brewery_brand,verified,high,,,官网及 Untappd 官方页面均确认英文名与苏州所在地。,https://twintailsbrewing.com/ | https://untappd.com/Twin_Tails_,2026-07-01,双尾酿造 / Twin Tails,Twin Tails,,,1,0,朦胧之吻,
水猴子,水猴子,,Myth Monkey Beer,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,水猴子,,,,1,1,胡椒蛮缠,English name not found safely; fill from checked mapping or official source
特纳亚溪,特纳亚溪,特纳亚溪,Tenaya Creek Brewery,"Las Vegas, Nevada",美国,US,"Las Vegas, Nevada（美国）",brewery_brand,verified,high,,,,https://tenayacreek.com/,2026-07-01,特纳亚溪,,,,1,0,胡夫水坝,English name not found safely; fill from checked mapping or official source
头脑冷静,头脑冷静,头脑冷静,CoolHead Brew,Helsinki,芬兰,FI,Helsinki（芬兰）,brewery_brand,verified,high,,,,https://coolhead.fi/,2026-07-01,头脑冷静,,,,1,0,和平奏鸣曲,English name not found safely; fill from checked mapping or official source
五岔街,五岔街,五岔街,The Five Points Brewing Company,London,英国,GB,London（英国）,brewery_brand,verified,medium,,,中文为市场译名。,https://fivepointsbrewing.co.uk/,2026-07-01,五岔街,,United Kingdom,英国:1,1,1,皮尔森,English name not found safely; fill from checked mapping or official source
小回酿造,小回酿造,小回酿造,Turn Right Brewing,长春,中国,CN,长春（中国）,brewery_brand,verified,medium,,,公开酒款页面确认 Turn Right（小回酿造）；所在地结合公开页面与原始所在地信息填写长春。,https://untappd.com/b/turn-right/6249390,2026-07-01,小回酿造,,,长春:1,1,1,施坦格,English name not found safely; fill from checked mapping or official source
行匠,行匠 / Trip Smith,行匠,TripSmith,贵阳,中国,CN,贵阳（中国）,brewery_brand,corrected,high,,,官方账号及贵阳官方媒体使用品牌拼写 TripSmith；原候选 Trip Smith 已纠正。,https://news.qq.com/rain/a/20250714A08L2E00 | https://www.douyin.com/user/MS4wLjABAAAASfrREJGZlgn0f01pYrNcT-yEBP3RbfA4Le7DxbVSq9b62WaumCz-71Ac2kzMljYE,2026-07-01,行匠,,,,1,0,月球旅行箱 皮尔森,English name not found safely; fill from checked mapping or official source
行空,行空酒造,行空酒造,Xing Kong Artisan Ale,青岛,中国,CN,青岛（中国）,brewery_brand,corrected,high,,,公开中文名为行空酒造；「行空酿造」为别名。,,2026-07-23,行空|行空酿造,,,青岛:1,1,1,早春,audit_2026-07-23_approved
兴业,兴业,兴业,Industrial Arts Brewing Company,"Garnerville, New York",美国,US,"Garnerville, New York（美国）",brewery_brand,verified,medium,,,由品牌中文译名及样例酒款匹配。,https://industrialartsbrewing.com/,2026-07-01,兴业,,United States,美国:1,1,1,拳击手,English name not found safely; fill from checked mapping or official source
一滴,一滴,一滴,One Drop Brewing Co.,"Botany, New South Wales",澳大利亚,AU,"Botany, New South Wales（澳大利亚）",brewery_brand,corrected,high,,,原表新西兰不正确；One Drop Brewing Co. 位于澳大利亚新南威尔士州。,https://www.onedropbrewingco.com.au/,2026-07-01,一滴,,New Zealand,新西兰:1,1,1,浆化星球,English name not found safely; fill from checked mapping or official source
远山啤酒,远山啤酒,远山啤酒,Far Mont Beer,,中国,CN,（中国）,brewery_brand,partially_verified,medium,partially_verified | city_unverified,,中文、英文及国家可确认；城市没有可靠公开来源，留空。,https://untappd.com/w/far-mont-beer-e-a-a-e/599657,2026-07-01,远山啤酒 / Far Mont Beer,Far Mont Beer,,,1,0,布里斯班淡影,
云酊,云酊,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,云酊,,China,云南:1,1,1,阿诗玛的莓果园,English name not found safely; fill from checked mapping or official source
长青工匠,长青工匠,长青工匠,Perennial Artisan Ales,"St. Louis, Missouri",美国,US,"St. Louis, Missouri（美国）",brewery_brand,verified,high,,,审核确认 Perennial Artisan Ales，圣路易斯。,,2026-07-23,长青工匠,,,,1,1,范尼拉符文,audit_2026-07-23_approved
智美,智美 / Chimay,智美,Chimay,Baileux (Chimay),比利时,BE,Baileux (Chimay)（比利时）,brewery_brand,verified,high,,,,https://chimay.com/,2026-07-01,智美,,,,1,0,智美银帽,English name not found safely; fill from checked mapping or official source
种子,种子,种子,The Seed,,美国,US,美国,brewery_brand,verified,medium,city_unverified,,审核确认英文 The Seed；城市暂空（新泽西相关奖项见文案）。,,2026-07-23,种子,,,,1,0,起始之日,audit_2026-07-23_approved
Allagash,Allagash Brewing Company,,Allagash Brewing Company,"Portland, Maine",美国,US,"Portland, Maine（美国）",brewery_brand,verified,high,,,,https://www.allagash.com/,2026-07-01,,Allagash,,,1,1,Saison,
Bell's,Bell's Brewery,,Bell's Brewery,"Comstock, Michigan",美国,US,"Comstock, Michigan（美国）",brewery_brand,verified,high,,,,https://bellsbeer.com/,2026-07-01,,Bell's,,,1,1,Two Hearted IPA,
Bissell Brothers Brewing,比尔斯兄弟,比尔斯兄弟,Bissell Brothers Brewing,"Portland, Maine",美国,US,"Portland, Maine（美国）",brewery_brand,verified,high,,,,https://bissellbrothers.com/,2026-07-01,,Bissell Brothers Brewing,,,1,0,Lux,
Cantillon,Brasserie Cantillon,,Brasserie Cantillon,Brussels,比利时,BE,Brussels（比利时）,brewery_brand,verified,high,,,,https://www.cantillon.be/,2026-07-01,,Cantillon,,,1,1,兰比克,
Cascade,Cascade Brewing,,Cascade Brewing,"Portland, Oregon",美国,US,"Portland, Oregon（美国）",brewery_brand,verified_historical,high,,closed,已于 2024 年停止运营；名称与原所在地仍可确认。,https://pdx.eater.com/2024/6/24/24185063/cascade-brewing-closes-portland-oregon-brewery,2026-07-01,,Cascade,,,1,1,古斯酸啤,
Chimay,智美 / Chimay,智美,Chimay,Baileux (Chimay),比利时,BE,Baileux (Chimay)（比利时）,brewery_brand,verified,high,,,,https://chimay.com/,2026-07-01,,Chimay,,,1,1,修道院三料,
CLAG,CLAG / 亚洲小霸王,亚洲小霸王,CLAG Brewing Company,"Sandusky, Ohio",美国,US,"Sandusky, Ohio（美国）",brewery_brand,verified,high,,,CLAG Brewing；中文市场名亚洲小霸王。,https://www.clagbrewingco.com/,2026-07-23,亚洲小霸王|CLAG,CLAG,United States,美国:1,1,1,轲斯拉大战金刚,audit_2026-07-23_approved
Derive Brewery,Derive Brewery,,Derive Brewing Company,"Columbus, Ohio",美国,US,"Columbus, Ohio（美国）",brewery_brand,corrected,high,,,该英文行按样例 LIMA 归入美国 Derive Brewing Company；不要与武汉蔓延酿造混并。,https://www.derivebeer.com/,2026-07-01,,Derive Brewery,,,1,0,LIMA,
E.T.,E.T. Brewery,,E.T. Brewery,深圳,中国,CN,深圳（中国）,brewery_brand,partially_verified,medium,partially_verified,,可确认中国深圳活动/品牌关联；未找到稳定官方主页。,,2026-07-01,,E.T.,,,1,1,迷离万象,
Everywhere,Everywhere,艾薇儿,everywhere beer company,"Orange, California",美国,US,"Orange, California（美国）",brewery_brand,verified,high,,,,https://www.everywherebeer.com/ | https://untappd.com/b/everywhere-little-egg/5738227,2026-07-01,,Everywhere,United States,美国:1,1,1,Little Egg,
Firestone Walker,Firestone Walker Brewing Company,,Firestone Walker Brewing Company,"Paso Robles, California",美国,US,"Paso Robles, California（美国）",brewery_brand,verified,high,,,,https://www.firestonewalker.com/,2026-07-01,,Firestone Walker,,,1,1,805 Blonde,
Founders,Founders Brewing Co.,,Founders Brewing Co.,"Grand Rapids, Michigan",美国,US,"Grand Rapids, Michigan（美国）",brewery_brand,verified,high,,,,https://foundersbrewing.com/,2026-07-01,,Founders,,,1,1,波特,
Hoegaarden,Hoegaarden,福佳,Hoegaarden,Hoegaarden,比利时,BE,Hoegaarden（比利时）,brewery_brand,verified,high,,,中文市场常用名为“福佳”。,https://hoegaarden.com/,2026-07-01,,Hoegaarden,,,1,1,比利时小麦,
ISM Brewing,ISM Brewing,,ISM Brewing,"Long Beach, California",美国,US,"Long Beach, California（美国）",brewery_brand,verified,high,,,,https://ism.beer/ | https://www.thewinecountry.com/ism-brewing-chepedelic-west-coast-ipa-16oz-can-lon.html,2026-07-01,,ISM Brewing,,,1,0,Chepedelic,
Jester King,Jester King Brewery,,Jester King Brewery,"Austin, Texas",美国,US,"Austin, Texas（美国）",brewery_brand,verified,high,,,,https://jesterkingbrewery.com/,2026-07-01,,Jester King,,,1,1,农舍艾尔,
Left Hand,左手酿造 / Left Hand Brewing,左手酿造,Left Hand Brewing Company,"Longmont, Colorado",美国,US,"Longmont, Colorado（美国）",brewery_brand,verified,high,,,与英国 Left Handed Giant 不同。,https://lefthandbrewing.com/,2026-07-01,,Left Hand,,,1,1,牛奶世涛,
MOJO,MOJO,,,,,,,brewery_brand,unverified,low,unverified | english_unverified | city_unverified | country_unverified,,已进行名称及样例酒款检索，但未找到足以可靠确认中文名、英文名和城市/国家的公开来源；验证字段留空。,,2026-07-01,,MOJO,,,1,0,沙滩小麦,
Monkish,僧侣 / Monkish Brewing,僧侣,Monkish Brewing Co.,Torrance,美国,US,Torrance（美国）,brewery_brand,verified,high,,,按主酒厂所在地填写。,https://www.monkishbrewing.com/,2026-07-01,,Monkish,,,1,1,DIPA,
Oskar Blues,Oskar Blues Brewery,,Oskar Blues Brewery,"Longmont, Colorado",美国,US,"Longmont, Colorado（美国）",brewery_brand,verified,high,,,品牌起源于 Lyons，主要酒厂/总部按 Longmont 填写。,https://www.oskarblues.com/,2026-07-01,,Oskar Blues,,,1,1,Dale's Pale Ale,
Other Half,另一半 / Other Half Brewing,另一半,Other Half Brewing,"Brooklyn, New York City",美国,US,"Brooklyn, New York City（美国）",brewery_brand,verified,high,,,城市按品牌创立地及主要纽约酒厂填写。,https://otherhalfbrewing.com/,2026-07-01,,Other Half,,,1,1,浑浊 IPA,
SHRED,SHRED,,Shred Beer Company,"Rocklin, California",美国,US,"Rocklin, California（美国）",brewery_brand,verified,high,,,,https://shredbeercompany.com/ | https://www.beeradvocate.com/beer/profile/65793/,2026-07-01,,SHRED,United States,美国:1,1,1,CINCO,
Sierra Nevada,Sierra Nevada Brewing Co.,,Sierra Nevada Brewing Co.,"Chico, California",美国,US,"Chico, California（美国）",brewery_brand,verified,high,,,,https://sierranevada.com/,2026-07-01,,Sierra Nevada,,,1,1,Pale Ale,
Stone Brewing,巨石酒厂 / Stone Brewing,巨石酒厂,Stone Brewing,"Escondido, California",美国,US,"Escondido, California（美国）",brand,verified_historical,medium,,,品牌源自 Escondido；2026 起生产向 Paso Robles / Kansas City 转移，城市为历史主锚点非永久唯一产地。,https://www.stonebrewing.com/,2026-07-23,巨石,Stone Brewing,,,1,1,西海岸 IPA,audit_2026-07-23_approved
The Bruery,布鲁瑞 / The Bruery,布鲁瑞,The Bruery,"Placentia, California",美国,US,"Placentia, California（美国）",brewery_brand,verified,high,,,,https://www.thebruery.com/pages/location-placentia,2026-07-01,,The Bruery,,,1,1,水果酸啤,
Tree House,树屋酒厂 / Tree House,树屋酒厂,Tree House Brewing Company,"Charlton, Massachusetts",美国,US,"Charlton, Massachusetts（美国）",brewery_brand,verified,high,,,按主要酒厂 Charlton 填写；多地点运营。,https://treehousebrew.com/,2026-07-23,树屋,Tree House,,,1,1,双倍浑浊,audit_2026-07-23_approved
Trillium,Trillium Brewing Company,,Trillium Brewing Company,"Canton, Massachusetts",美国,US,"Canton, Massachusetts（美国）",brewery_brand,verified,high,,,按主要生产酒厂填写。,https://trilliumbrewing.com/,2026-07-01,,Trillium,,,1,1,新英格兰 IPA,
Weihenstephan,Weihenstephan,唯森,Bayerische Staatsbrauerei Weihenstephan,Freising,德国,DE,Freising（德国）,brewery_brand,verified,high,,,中文市场也常见“维森/唯森”，英文官方名称最可靠。,https://www.weihenstephaner.de/en/,2026-07-01,,Weihenstephan,,,1,1,德式小麦,
稳态,稳态,稳态酒厂,Equilibrium Brewery,"Middletown, New York",美国,US,"Middletown, New York（美国）",brewery_brand,verified,high,,,审核确认：稳态=Equilibrium；与矛盾体/Halfway Crooks 分列。,https://www.eqbrew.com/,2026-07-23,稳态,,,"Middletown, New York:1",2,0,螺旋|生化梦境,audit_2026-07-23_approved
分支,分支,分支酒厂,Offshoot Beer Co.,"Placentia, California",美国,US,"Placentia, California（美国）",brand,verified,high,,,审核确认：分支=Offshoot（The Bruery 子品牌），不是 Branch & Bone。,https://www.thebruery.com/pages/offshoot-about-us,2026-07-23,分支,,,"Placentia, California:1",1,1,妲己,audit_2026-07-23_approved
亚洲小霸王,CLAG / 亚洲小霸王,亚洲小霸王,CLAG Brewing Company,"Sandusky, Ohio",美国,US,"Sandusky, Ohio（美国）",brewery_brand,verified,high,,,与 CLAG 同组；source alias。,https://www.clagbrewingco.com/,2026-07-23,,,,"Sandusky, Ohio:1",1,1,轲斯拉大战金刚,audit_2026-07-23_approved
小荷,小荷酿造,小荷酿造,Lotus Brewing,合肥肥东,中国,CN,合肥肥东（中国）,brewery_brand,verified,high,,,合肥小荷啤酒酿造有限公司；Xiaohe 为搜索别名。,https://www.bjbrew.com/exDetail.aspx?exid=285,2026-07-23,小荷,Xiaohe Brewing,,合肥肥东:1,3,2,黑羽|蜜瓜龙2.0|蜜瓜龙,audit_2026-07-23_approved
麒麟,麒麟啤酒,麒麟啤酒,"Kirin Brewery Company, Limited",,日本,JP,日本,brand,partially_verified,medium,city_unverified,,大型跨地区品牌；城市不写死；中国市场部分产品或为珠海等地生产。,https://www.kirinholdings.com/en/,2026-07-23,,,,日本:1,,,,audit_2026-07-23_approved
大九,大九酿造,大九酿造,MAHANINE BREWING,呼和浩特,中国,CN,呼和浩特（中国）,brewery_brand,verified,medium,,,Maha Nine 可作为拆分写法别名。,,2026-07-23,,Maha Nine Brewing,,呼和浩特:1,1,,降临,audit_2026-07-23_approved
有什酿造,有什酿造,有什酿造,UTIME BREWING,,中国,CN,中国,brewery_brand,partially_verified,low,city_unverified,,英文已确认；城市未核实，勿用消费城市推断。,,2026-07-23,,Utime Brewing,,中国:1,1,1,酸味主义,audit_2026-07-23_approved
神话,神话酒厂,神话酒厂,Epic Beer,"Onehunga, Auckland",新西兰,NZ,"Onehunga, Auckland（新西兰）",brewery_brand,verified,high,,,新西兰 Epic，不是美国同名 Epic Brewing。,,2026-07-23,,Epic Brewing Company,,"Onehunga, Auckland:1",,,,audit_2026-07-23_approved
气泡实验室,气泡实验室,气泡实验室,Bubble Lab,武汉,中国,CN,武汉（中国）,brewery_brand,partially_verified,low,city_unverified,,起源于武汉；常州有酒吧；当前批量生产工厂待复核。,,2026-07-23,,,,武汉:1,1,,酒花伞兵,audit_2026-07-23_approved
未索之境,未索之境酿造,未索之境酿造,Unexplored Brewing,,中国,CN,中国,brewery_brand,partially_verified,low,city_unverified,,中国 nano；城市未核实。,,2026-07-23,未索之境,,,中国:1,2,2,西西里橙|琥珀,audit_2026-07-23_approved
秦人造,秦人造,秦人造,Qin Craft Beer,西安,中国,CN,西安（中国）,brewery_brand,verified,high,,,,,2026-07-23,,,,西安:1,2,1,西安Summer|柑橘起源,audit_2026-07-23_approved
伊势角屋,伊势角屋麦酒,伊势角屋麦酒,ISEKADO,三重县伊势市,日本,JP,三重县伊势市（日本）,brewery_brand,verified,high,,,品牌产地日本；越南合作生产不改 country。,https://www.isekadoyabeer.com/,2026-07-23,,Ise Kadoya Beer,,三重县伊势市:1,,,,audit_2026-07-23_approved
云泥,云泥酿造,云泥酿造,,,中国,CN,中国,brewery_brand,partially_verified,low,english_unverified | city_unverified,,英文留空；禁止自译 Cloud & Mud。,,2026-07-23,云泥,,,中国:1,3,2,浮柚|翠屿,audit_2026-07-23_approved
涧溪,涧溪,涧溪,Braybrooke Beer Co.,"Braybrooke Farm, Market Harborough",英国,GB,"Braybrooke Farm, Market Harborough（英国）",brewery_brand,verified,high,,,涧溪为中国市场译名；专注拉格。,,2026-07-23,Braybrooke,,,"Braybrooke Farm, Market Harborough:1",1,1,窑臧拉格,audit_2026-07-23_approved
